procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 595120 7927540 1785904 43889352    0    0     2     3    0    0  1  0 99  0
 2  0 595120 7927688 1785904 43889160    0    0     4     2 7709 16119  1  0 99  0
 0  0 595120 7928128 1785904 43889196    0    0    16    80 7751 16404  1  0 99  0
 1  0 595120 7928120 1785904 43889196    0    0     4     0 7730 16261  1  0 99  0
 0  0 595120 7928120 1785904 43889216    0    0     4    48 7577 15998  0  0 100  0
 0  0 595120 7928112 1785904 43889220    0    0     0     0 7747 16407  1  0 99  0
 2  0 595120 7928016 1785904 43889220    0    0     0    44 7610 15893  0  0 99  0
 1  0 595120 7928272 1785904 43889220    0    0     0     4 7646 16057  0  0 99  0
 1  0 595120 7928428 1785904 43889220    0    0     0     0 7694 16133  1  0 99  0
 0  0 595120 7927792 1785904 43889224    0    0     4    46 7711 16175  0  0 99  0
 1  0 595120 7927800 1785904 43889232    0    0     0     0 7950 16260  1  0 99  0
 1  0 595120 7927304 1785904 43889240    0    0     0    56 7590 15873  1  0 99  0
 0  0 595120 7927584 1785904 43889248    0    0     4     4 7685 16145  0  0 99  0
 0  0 595120 7926920 1785904 43889268    0    0     0     0 7811 16474  1  0 99  0
 0  0 595120 7926796 1785904 43889272    0    0     0    60 7658 16176  1  0 99  0
 0  0 595120 7909428 1785904 43904472    0    0     0  2012 8115 17032  2  1 97  0
 0  0 595120 7909316 1785904 43904480    0    0     0     2 7737 16374  1  0 99  0
 0  0 595120 7908812 1785904 43904496    0    0     8     4 7738 16276  1  0 99  0
 0  0 595120 7908964 1785904 43904496    0    0     6    96 7728 16207  0  0 99  0
 1  0 595120 7909196 1785904 43904508    0    0     0     6 7627 16061  1  0 99  0
 0  0 595120 7909436 1785904 43904508    0    0     4    42 7804 16625  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 595120 7909568 1785904 43904528    0    0     0     6 7698 16194  0  0 99  0
