procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 485740 6974336 30041712 174620352    0    0    99   237    0    0 13  1 83  3  0	
 1  1 485740 6972196 30042492 174620096    0    0   408   246 4668 5204  0  0 97  3  0	
 0  1 485740 6970456 30043500 174620112    0    0   490   930 5337 6006  1  0 96  3  0	
 1  1 485740 6968268 30044420 174620304    0    0   417   814 5512 6089  0  0 96  3  0	
 1  1 485740 6964992 30045612 174620352    0    0   633   404 5254 5700  0  0 96  3  0	
 1  1 485740 6964080 30046672 174620432    0    0   484  1101 4887 5296  0  0 97  3  0	
 2  0 485740 6987052 30047860 174620544    0    0   588   210 5046 5577  0  0 97  3  0	
 1  1 485740 6984760 30048948 174620704    0    0   535  1187 5823 6262  0  0 97  3  0	
 1  1 485740 6985580 30049932 174620768    0    0   493   792 5332 6021  0  0 97  3  0	
 2  1 485740 6979400 30051096 174620752    0    0   564   258 5226 5980  0  0 97  3  0	
 1  1 485740 6975388 30052092 174620976    0    0   522  1226 5387 5878  0  0 97  3  0	
 1  1 485740 6973508 30053216 174620784    0    0   569   202 5220 5621  0  0 97  3  0	
 1  1 485740 6971328 30054324 174620960    0    0   558  1165 5233 5859  0  0 97  3  0	
 0  1 485740 6968836 30054704 174621280    0    0   179  5204 6368 5988  0  0 96  3  0	
 0  1 485740 7010992 30054928 174621280    0    0    90   156 3978 4912  0  0 96  3  0	
 5  1 485740 7051740 30055124 174621472    0    0    95   627 8036 5955  1  3 93  3  0	
 1  1 485740 7087528 30055224 174621520    0    0    42   298 5866 4782  0  2 95  3  0	
 1  1 485740 7056388 30055592 174621456    0    0   170   512 5529 6085  1  1 96  3  0	
 0  1 485740 7051544 30056276 174621456    0    0   331   659 4273 5673  0  0 97  3  0	
 1  1 485740 7049308 30057272 174621472    0    0   471   250 4436 5175  0  0 97  3  0	
 1  3 485740 7047104 30058360 174621712    0    0   545  1084 5053 6628  0  0 96  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 485740 7042032 30059496 174621728    0    0   575   230 6448 6451  2  2 94  3  0	
 1  1 485740 7050776 30060580 174621696    0    0   528  1150 7164 6579  0  2 95  3  0	
 1  1 485740 7042492 30061600 174621904    0    0   542   646 5388 6820  0  0 96  3  0	
 0  1 485740 7034332 30062736 174621792    0    0   574   228 5474 6937  0  0 96  3  0	
 0  1 485740 7033036 30063764 174622160    0    0   559  1328 5912 6200  0  0 97  3  0	
 1  1 485740 7031260 30064736 174622048    0    0   473   234 4380 5348  0  0 97  3  0	
 3  1 485740 7039748 30065720 174622224    0    0   485  1260 10223 6820  0  2 95  3  0	
 0  1 485740 7042132 30066904 174622304    0    0   608   528 5605 6001  0  1 96  3  0	
 0  1 485740 7036716 30068124 174622352    0    0   591  1072 5770 6582  1  0 96  3  0	
 1  2 485740 7037388 30069340 174622464    0    0   606  3995 6210 5832  0  0 97  3  0	
 1  1 485740 7036300 30069504 174622736    0    0   105  2064 3734 4583  0  0 97  3  0	
 1  1 485740 7031108 30069600 174622832    0    0    44   561 4019 4950  0  0 96  3  0	
 5  1 485740 7026908 30069684 174622976    0    0    54  2290 6939 5203  0  2 94  3  0	
 1  1 485740 7026224 30069940 174622976    0    0   136   320 4761 4651  0  1 96  3  0	
 0  1 485740 7011948 30070072 174623168    0    0    63   477 4317 5113  1  0 96  3  0	
 1  1 485740 7005236 30070940 174622912    0    0   434   184 5079 5560  0  0 97  3  0	
 2  1 485740 6977700 30071920 174623120    0    0   478  1032 5891 7152  1  0 96  3  0	
 2  1 485740 6977192 30072992 174623168    0    0   528  2320 5235 6826  0  0 96  3  0	
 2  1 485740 6986644 30074420 174623152    0    0   802   244 7663 6286  0  2 94  3  0	
 4  1 485740 6977360 30075464 174623360    0    0   498  1274 11809 6686  0  4 93  3  0	
 1  1 485740 6972316 30076656 174623312    0    0   617   330 7046 6102  0  2 95  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 485740 6964568 30077916 174623360    0    0   626  1353 5114 6349  0  0 97  3  0	
 1  1 485740 6960604 30079132 174623472    0    0   579  1911 5279 6865  1  0 96  3  0	
 3  1 485740 6956368 30080320 174623488    0    0   570   198 4998 5805  0  0 97  3  0	
 2  1 485740 6951780 30081576 174623600    0    0   661  1318 5573 6102  0  0 97  3  0	
 2  1 485740 6956360 30082724 174623728    0    0   606   259 5922 5889  0  2 95  3  0	
 3  1 485740 6960084 30084204 174623680    0    0   764  1229 9460 6915  0  4 93  3  0	
 2  1 485740 6957796 30084992 174624048    0    0   392  5613 12392 6972  0  4 93  3  0	
 4  1 485740 6964528 30085288 174623968    0    0   123   268 7106 5401  0  3 93  3  0	
 1  1 485740 6954848 30085640 174624032    0    0   191   878 4824 6249  0  1 96  3  0	
 0  1 485740 6978336 30086092 174624352    0    0   226   378 4240 5148  0  0 96  3  0	
 1  1 485740 6949432 30086196 174624416    0    0    51   476 4752 5588  1  0 96  3  0	
 1  1 485740 6946508 30086620 174624320    0    0   209   920 4276 6130  0  0 97  3  0	
