procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 485496 6496032 29517568 175839792    0    0   101   241    0    0 13  1 83  3  0	
 3  0 485496 6495436 29517568 175839648    0    0     0   836 9862 14735  2  0 97  0  0	
 1  0 485496 6497064 29517568 175839712    0    0     0   306 4838 6029  1  0 99  0  0	
 2  0 485496 6498292 29517568 175839888    0    0     0   508 3897 5209  0  0 99  0  0	
 0  0 485496 6498244 29517568 175840000    0    0     0   258 8705 13553  2  0 98  0  0	
 2  0 485496 6500988 29517568 175840000    0    0     0   358 3851 4687  1  0 99  0  0	
 5  0 485496 6505244 29517568 175840080    0    0     0   700 9024 12413  4  0 95  0  0	
 1  0 485496 6517080 29517568 175840144    0    0     0   279 4139 4882  1  0 99  0  0	
 1  0 485496 6512512 29517568 175840176    0    0     0   385 4323 5118  1  0 99  0  0	
 0  0 485496 6511428 29517568 175840336    0    0     0   258 8678 13733  2  0 98  0  0	
 1  0 485496 6503088 29517568 175840352    0    0     0   270 4553 4804  1  1 99  0  0	
 3  0 485496 6499012 29517572 175840416    0    0     0   986 9340 14125  2  0 98  0  0	
 1  0 485496 6498936 29517572 175840480    0    0     0   296 3820 4728  1  0 99  0  0	
 0  0 485496 6510872 29517572 175840640    0    0     0   364 4405 5128  0  0 99  0  0	
 1  0 485496 6511448 29517572 175840688    0    0     0   302 8775 12746  4  0 96  0  0	
 1  0 485496 6513372 29517572 175840704    0    0     0   274 4087 4569  0  0 99  0  0	
 4  0 485496 6512924 29517572 175840752    0    0     0   997 6808 10490  1  0 99  0  0	
 1  0 485496 6514532 29517572 175840816    0    0     0   310 6490 8547  1  0 99  0  0	
 1  0 485496 6516164 29517572 175840976    0    0     0   467 3770 4690  0  0 99  0  0	
 1  0 485496 6514264 29517572 175841024    0    0     0   230 8433 12845  2  0 98  0  0	
 0  0 485496 6516248 29517572 175841024    0    0     0   144 3243 4083  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 485496 6516880 29517572 175841088    0    0     0   988 7431 11556  1  0 98  0  0	
 1  0 485496 6525544 29517572 175841168    0    0     0   248 4670 6395  1  0 99  0  0	
