procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1337576 156928 2927272    0    0     0    60    0    0  1  0 98  0
 0  0  25456 1337444 156928 2927180    0    0     0    32  328  669  0  0 100  0
 0  0  25456 1338312 156928 2927180    0    0     0     0  325  708  0  0 99  0
 0  0  25456 1338188 156928 2927180    0    0     0    36  331  697  0  0 99  0
 0  0  25456 1337940 156928 2927180    0    0     0     6  336  731  0  0 99  0
 0  0  25456 1337940 156928 2927184    0    0     0     0  407  790  0  0 99  0
 0  0  25456 1337816 156928 2927184    0    0     0    12  309  621  1  0 99  0
 0  0  25456 1337692 156928 2927184    0    0     0    14  350  703  1  0 99  0
 0  0  25456 1337540 156928 2927184    0    0     0     0  315  697  0  0 100  0
 0  0  25456 1337444 156928 2927184    0    0     0     0  350  744  0  0 100  0
 0  0  25456 1337444 156928 2927184    0    0     0     6  464  884  3  4 93  0
 0  0  25456 1337228 156928 2927184    0    0     0     6  325  638  0  0 99  0
 0  0  25456 1337196 156928 2927184    0    0     0     0  352  711  1  0 99  0
 0  0  25456 1337064 156928 2927184    0    0     0    16  333  710  0  0 99  0
 0  0  25456 1337404 156928 2927184    0    0     0     0  344  739  0  0 100  0
 0  0  25456 1337508 156928 2927184    0    0     0     0  355  737  0  0 100  0
 0  0  25456 1337384 156928 2927184    0    0     0    36  315  619  0  0 100  0
 0  0  25456 1337228 156928 2927184    0    0     0     0  345  725  1  0 99  0
 0  0  25456 1337228 156928 2927184    0    0     0     0  306  682  0  0 100  0
 0  0  25456 1337228 156928 2927184    0    0     0     8  336  722  0  0 100  0
 0  0  25456 1337408 156928 2927192    0    0     0     0  520  887  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1337312 156928 2927192    0    0     0    16  310  638  0  0 100  0
 0  0  25456 1337312 156928 2927192    0    0     0    12  386  773  0  0 99  0
 0  0  25456 1337072 156928 2927192    0    0     0     0  321  692  0  0 99  0
 0  0  25456 1336948 156928 2927192    0    0     0     0  359  748  1  0 99  0
 1  0  25456 1335204 156928 2927196    0    0     0    10  493  909  2  2 95  0
 0  0  25456 1335188 156928 2927200    0    0     0     0  372  654  1  2 97  0
 0  0  25456 1335560 156928 2927200    0    0     0     0  332  695  1  0 99  0
 0  0  25456 1335312 156928 2927200    0    0     0    24  330  717  0  0 100  0
 0  0  25456 1335624 156928 2927200    0    0     0     0  345  750  0  0 99  0
 0  0  25456 1335800 156928 2927196    0    0     0     0  350  724  0  0 99  0
 0  0  25456 1335800 156928 2927196    0    0     0    36  333  650  0  0 100  0
 0  0  25456 1335768 156928 2927196    0    0     0     0  346  718  1  0 99  0
 0  0  25456 1336112 156928 2927196    0    0     0     8  314  688  0  0 100  0
 0  0  25456 1336140 156928 2927196    0    0     0    10  345  719  0  0 99  0
 0  0  25456 1336048 156928 2927200    0    0     0     0  424  827  1  0 99  0
 0  0  25456 1336016 156928 2927200    0    0     0    14  302  597  1  0 99  0
 0  0  25456 1336016 156928 2927200    0    0     0    20  329  697  0  0 99  0
 0  0  25456 1335768 156928 2927200    0    0     0    30  352  721  0  0 100  0
 0  0  25456 1336160 156928 2927200    0    0     0     0  345  697  1  0 99  0
 0  0  25456 1336232 156928 2927200    0    0     0     6  357  743  1  0 99  0
 0  0  25456 1336232 156928 2927200    0    0     0     4  449  657  3  3 94  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1336232 156928 2927200    0    0     0     0  344  725  1  0 99  0
 0  0  25456 1336016 156928 2927200    0    0     0     6  308  694  0  0 100  0
 0  0  25456 1335984 156928 2927200    0    0     0     0  334  706  1  0 99  0
 0  0  25456 1335984 156928 2927200    0    0     0     0  361  651  1  0 99  0
 0  0  25456 1335952 156928 2927204    0    0     0     8  370  751  0  0 99  0
 0  0  25456 1336572 156928 2927204    0    0     0     0  369  755  1  0 99  0
 0  0  25456 1336572 156928 2927204    0    0     0    14  314  678  0  0 99  0
 0  0  25456 1336572 156928 2927204    0    0     0    10  340  730  1  0 99  0
 0  0  25456 1336432 156928 2927212    0    0     0     0  450  747  1  0 99  0
 0  0  25456 1335976 156928 2927212    0    0     0    10  332  737  1  0 99  0
 0  0  25456 1335820 156928 2927212    0    0     0    18  378  777  1  0 99  0
 0  0  25456 1336440 156928 2927212    0    0     0     0  317  679  0  0 100  0
 0  0  25456 1336448 156928 2927212    0    0     0     0  369  773  1  0 99  0
 0  0  25456 1334656 156928 2927216    0    0     0     8  392  742  1  0 99  0
 0  0  25456 1334284 156928 2927220    0    0     0    12  485  787  3  4 93  0
 0  0  25456 1334192 156928 2927220    0    0     0     0  333  713  1  0 99  0
 0  0  25456 1334068 156928 2927220    0    0     0    22  332  721  0  0 99  0
 0  0  25456 1335444 156928 2927220    0    0     0     0  382  834  1  0 99  0
 0  0  25456 1335548 156928 2927216    0    0     0     0  330  623  0  0 100  0
 0  0  25456 1335516 156928 2927216    0    0     0    20  368  785  0  0 99  0
 0  0  25456 1335268 156928 2927216    0    0     0     0  354  731  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1335176 156928 2927216    0    0     0     0  320  687  0  0 100  0
 0  0  25456 1335208 156928 2927216    0    0     0     8  460  869  1  0 99  0
 0  0  25456 1335148 156928 2927224    0    0     0     0  406  711  0  0 99  0
 0  0  25456 1336016 156928 2927224    0    0     0    28  332  731  1  0 99  0
 0  0  25456 1335860 156928 2927224    0    0     0    26  334  709  0  0 99  0
 0  0  25456 1335736 156928 2927224    0    0     0     8  340  731  0  0 99  0
 0  0  25456 1335736 156928 2927224    0    0     0     0  365  773  1  0 99  0
 0  0  25456 1335676 156928 2927224    0    0     0    10  335  624  0  0 100  0
 0  0  25456 1335428 156928 2927224    0    0     0     4  497  800  4  3 93  0
 0  0  25456 1335772 156928 2927224    0    0     0     0  353  749  0  0 99  0
 0  0  25456 1335676 156928 2927224    0    0     0    40  339  700  0  0 100  0
 0  0  25456 1335552 156928 2927224    0    0     0     0  322  697  1  0 99  0
 0  0  25456 1335428 156928 2927224    0    0     0     0  362  699  0  0 100  0
 0  0  25456 1335180 156928 2927224    0    0     0    12  407  863  1  0 99  0
 0  0  25456 1335024 156928 2927224    0    0     0     0  346  724  1  0 99  0
 0  0  25456 1335520 156928 2927224    0    0     0     0  318  685  0  0 100  0
 0  0  25456 1335584 156928 2927228    0    0     0     8  429  845  1  0 99  0
 0  0  25456 1335424 156928 2927232    0    0     0     0  455  759  1  0 99  0
 0  0  25456 1335300 156928 2927232    0    0     0     6  332  736  1  0 99  0
 0  0  25456 1335176 156928 2927232    0    0     0    16  361  767  0  0 99  0
 0  0  25456 1335028 156928 2927232    0    0     0    16  315  666  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1335372 156928 2927232    0    0     0     0  358  759  1  0 99  0
 0  0  25456 1333764 156928 2927236    0    0     0    14  362  704  0  0 99  0
 2  0  25456 1333516 156928 2927240    0    0     0     8  462  773  3  3 95  0
 0  0  25456 1333644 156928 2927240    0    0     0     0  391  769  1  1 98  0
 0  0  25456 1333488 156928 2927240    0    0     0    26  321  684  0  0 99  0
 0  0  25456 1334192 156928 2927240    0    0     0     0  323  649  1  0 99  0
 0  0  25456 1334224 156928 2927236    0    0     0     0  364  739  0  0 100  0
 0  0  25456 1334256 156928 2927236    0    0     0    34  345  731  1  0 99  0
 0  0  25456 1335000 156928 2927236    0    0     0     0  393  733  1  0 99  0
 0  0  25456 1334876 156928 2927240    0    0     0     0  439  850  1  0 99  0
