procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 13668364 693292 8295656    0    0     1   157   13   18  0  0 99  0
 0  0      0 13667352 693292 8295880    0    0     0   250  764 1225  1  0 99  0
 0  0      0 13668200 693292 8295632    0    0     0     0  578  986  0  0 100  0
 0  0      0 13664132 693296 8295632    0    0     0    12  603 1032  0  0 99  0
 0  0      0 13667776 693296 8295636    0    0     0    38  612 1034  0  0 100  0
 0  0      0 13668276 693296 8295644    0    0     0     0  583  985  0  0 100  0
 0  0      0 13667420 693296 8295660    0    0     0    24  999 1589  1  0 99  0
 0  0      0 13667776 693300 8295668    0    0     0    36  808 1126  0  0 100  0
 0  0      0 13657624 693300 8295680    0    0     0   214  817 1388  1  1 98  0
 0  0      0 13663204 693312 8295992    0    0     0  3890  878 1323  1  0 99  0
 0  0      0 13663916 693312 8295748    0    0     0     0  520  955  0  0 100  0
 0  0      0 13664588 693312 8296008    0    0     0   254  757 1160  1  0 99  0
 0  0      0 13663824 693312 8295760    0    0     0    88  584 1005  0  0 100  0
 0  0      0 13660224 693312 8296016    0    0     0   204  591 1013  0  0 99  0
 0  0      0 13663828 693312 8295768    0    0     0    32  696 1162  0  0 100  0
 0  0      0 16357116 693312 8295772    0    0     0   116  790 1296  1  2 97  0
 0  0      0 16357424 693312 8296024    0    0     0    34  564  947  0  0 100  0
 0  0      0 16357312 693316 8295776    0    0     0    22  429  746  0  0 100  0
 0  0      0 16354588 693316 8296032    0    0     0   322  506  804  0  0 99  0
 0  0      0 16358316 693316 8295780    0    0     0    44  501  858  0  0 100  0
 4  0      0 16319584 693324 8295788    0    0     0    16 2334 2688  7  1 93  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  0      0 16083656 693324 8295804    0    0     0   242 5532 4557 35  2 62  0
 4  0      0 15868268 693324 8295812    0    0     0    26 3302 1444 51  1 48  0
