procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 484536 5371552 29511360 176492464    0    0    99   237    0    0 13  1 83  3  0	
 1  0 484536 5384232 29511360 176492656    0    0     0   369 5219 6291  2  0 98  0  0	
 2  0 484536 5377968 29511360 176492784    0    0    28   997 5128 6838  1  0 98  0  0	
 2  0 484536 5377512 29511360 176492848    0    0     0   246 5903 6986  3  0 96  0  0	
 2  0 484536 5379444 29511360 176492896    0    0     0   408 5389 6888  2  0 98  0  0	
 2  0 484536 5378072 29511360 176492976    0    0     0   302 3976 4877  1  0 99  0  0	
 0  0 484536 5378772 29511360 176493168    0    0     0   316 5228 6962  1  0 99  0  0	
 2  0 484536 5376836 29511360 176493264    0    0     4   798 5316 6864  2  0 98  0  0	
 5  0 484536 5339576 29511360 176493344    0    0    14   389 6497 8056  1  1 98  0  0	
 0  0 484536 5332316 29511360 176493424    0    0     0   298 6261 7053  3  0 96  0  0	
 2  0 484536 5334392 29511360 176493472    0    0     0   214 4994 6268  1  0 98  0  0	
 2  0 484536 5336236 29511360 176493680    0    0     0   472 5368 6993  1  0 99  0  0	
 2  0 484536 5339744 29511360 176493792    0    0     0   582 5539 6763  3  0 97  0  0	
 2  0 484536 5336588 29511360 176493856    0    0     0   290 5406 6858  1  0 99  0  0	
 1  0 484536 5345980 29511360 176493968    0    0     0   356 5069 6742  1  0 99  0  0	
 1  0 484536 5346112 29511360 176494032    0    0     0   238 5431 6560  1  0 99  0  0	
 2  0 484536 5341016 29511360 176494272    0    0     0   466 6104 7269  1  0 98  0  0	
 0  0 484536 5342112 29511360 176494464    0    0     0   592 5855 7026  3  0 96  0  0	
 1  0 484536 5428940 29511360 176494528    0    0     0   294 5726 6979  1  0 98  0  0	
 1  0 484536 5424676 29511360 176494640    0    0     4   404 4997 6516  1  0 99  0  0	
 2  0 484536 5429888 29511360 176494672    0    0     0   382 4373 5695  1  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484536 5440744 29511360 176494816    0    0     0   280 4237 5138  0  0 99  0  0	
 0  0 484536 5437332 29511360 176494880    0    0     0   718 4732 6062  1  0 99  0  0	
 2  0 484536 5439044 29511360 176494912    0    0     0   299 4049 5017  0  0 99  0  0	
 2  0 484536 5441720 29511360 176495008    0    0     0   278 3718 4940  0  0 100  0  0	
 2  0 484536 5466128 29511360 176495040    0    0     0   162 7814 5938  1  2 97  0  0	
 5  0 484536 5458684 29511360 176495104    0    0     0   296 8344 5980  3  3 93  0  0	
 4  0 484536 5448424 29511360 176495264    0    0     0   698 9581 7155  1  3 96  0  0	
 4  0 484536 5443716 29511360 176495312    0    0     0   324 4388 5169  0  1 99  0  0	
 4  0 484536 5440216 29511360 176495408    0    0     0   337 4709 5792  1  0 99  0  0	
 1  0 484536 5437336 29511360 176495424    0    0     0   146 4985 6249  1  0 99  0  0	
 0  0 484536 5436544 29511360 176495616    0    0    14   354 4521 5224  1  0 99  0  0	
 2  0 484536 5436892 29511360 176495680    0    0     4   918 3194 4154  0  0 100  0  0	
 1  0 484536 5435264 29511360 176495712    0    0     0   216 4610 5759  1  0 99  0  0	
 3  0 484536 5435860 29511360 176495808    0    0     0   350 4185 5474  1  0 99  0  0	
 1  0 484536 5438020 29511360 176495824    0    0     0   305 3854 4554  0  0 99  0  0	
 2  0 484536 5436028 29511360 176495984    0    0     0   294 4277 5745  0  0 99  0  0	
 1  0 484536 5437584 29511360 176496064    0    0     0   298 3970 5290  1  0 99  0  0	
 0  0 484536 5428980 29511360 176496112    0    0     0   942 4777 5782  1  0 99  0  0	
 0  0 484536 5428948 29511360 176496176    0    0     0   268 3951 5279  1  0 99  0  0	
 0  0 484536 5430304 29511360 176496208    0    0     0   168 6025 7275  4  0 96  0  0	
 1  0 484536 5428668 29511360 176496512    0    0   112   482 5525 6938  1  0 98  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484536 5582528 29511360 176496720    0    0     0   174 3989 4668  0  0 99  0  0	
 1  0 484536 5521188 29511360 176496752    0    0     0   344 4551 5577  1  0 99  0  0	
 2  0 484536 5506964 29511360 176496864    0    0     0   388 4362 5130  1  0 99  0  0	
 3  0 484536 5458664 29511360 176496912    0    0     0   564 5582 6244  2  1 98  0  0	
 2  0 484536 5446704 29511360 176497120    0    0     0   459 4285 4960  0  0 99  0  0	
 0  0 484536 5447960 29511360 176497152    0    0     0   268 3028 3964  0  0 100  0  0	
 2  0 484536 5450112 29511360 176497200    0    0     0   212 3478 4594  0  0 100  0  0	
 1  0 484536 5450032 29511360 176497280    0    0     0   277 3706 4770  0  0 100  0  0	
 0  0 484536 5451040 29511360 176497296    0    0     0   548 3305 4311  0  0 100  0  0	
 2  0 484536 5452396 29511360 176497440    0    0     0   220 3519 4581  0  0 100  0  0	
 2  0 484536 5452996 29511360 176497472    0    0     0   158 3145 4289  0  0 100  0  0	
 2  0 484536 5451032 29511360 176497520    0    0     0   252 3989 4934  0  0 99  0  0	
 2  0 484536 5448896 29511360 176497600    0    0     0   314 3936 4909  0  0 99  0  0	
 2  0 484536 5447828 29511360 176497632    0    0     4   754 3608 4396  0  0 99  0  0	
 2  0 484536 5442708 29511360 176497776    0    0     0   420 4056 4697  0  0 99  0  0	
 1  0 484536 5440912 29511360 176497952    0    0    56   284 3996 5116  1  0 99  0  0	
 3  0 484536 5368872 29511360 176498000    0    0     0   420 4707 5224  1  1 98  0  0	
 3  0 484536 5363268 29511360 176498080    0    0     0   343 4042 4717  1  0 99  0  0	
 2  0 484536 5354304 29511360 176498080    0    0     0   810 4026 4941  0  0 99  0  0	
 2  0 484536 5359708 29511360 176498240    0    0     0   311 3591 4757  0  0 100  0  0	
 0  0 484536 5360664 29511360 176498272    0    0     0   212 3222 4393  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 484536 5380104 29511360 176498304    0    0     0   264 5070 4718  0  3 97  0  0	
 2  0 484536 5369784 29511360 176498400    0    0     0   521 4874 5374  0  2 98  0  0	
 2  0 484536 5367384 29511360 176498400    0    0     0   702 3226 4143  0  0 100  0  0	
 1  0 484536 5364452 29511360 176498560    0    0     0   272 3847 4739  0  0 99  0  0	
 2  0 484536 5358712 29511360 176498624    0    0     0   284 3635 4493  0  0 99  0  0	
 2  0 484536 5349192 29511360 176498656    0    0     0   283 4531 5149  0  0 99  0  0	
 2  0 484536 5341928 29511360 176498720    0    0     0   262 3498 4489  0  0 99  0  0	
 2  0 484536 5341624 29511360 176498736    0    0     0   671 3353 4285  0  0 100  0  0	
 0  0 484536 5331948 29511360 176498912    0    0     0   508 6586 7099  4  0 95  0  0	
 2  0 484536 5332000 29511360 176499024    0    0     0   170 3222 4447  0  0 100  0  0	
 1  0 484536 5330940 29511360 176499072    0    0     2   329 4192 5287  0  0 99  0  0	
 0  0 484536 5333708 29511360 176499168    0    0     0   315 3837 5044  0  0 100  0  0	
 2  0 484536 5335012 29511360 176499184    0    0     0   336 4266 5616  0  0 99  0  0	
 3  0 484536 5336120 29511360 176499392    0    0     0   453 3997 5279  0  0 99  0  0	
 2  0 484536 5336576 29511360 176499440    0    0     0   232 3641 4672  0  0 99  0  0	
 2  0 484536 5337552 29511360 176499472    0    0     0   254 3758 4978  0  0 100  0  0	
 0  0 484536 5349252 29511360 176499552    0    0     0   395 4207 5268  0  0 99  0  0	
 4  0 484536 5429780 29511360 176499568    0    0     0   500 3837 4733  0  0 99  0  0	
 1  0 484536 5434148 29511360 176499712    0    0     0   228 3579 4581  0  0 100  0  0	
 1  0 484536 5433172 29511360 176499760    0    0     0   189 3353 4331  0  0 100  0  0	
 2  0 484536 5432712 29511360 176499792    0    0     0   346 4091 5423  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 484536 5427908 29511360 176499872    0    0     0   288 4095 5220  0  0 99  0  0	
 2  0 484536 5428836 29511360 176499904    0    0     0   758 3343 4364  0  0 100  0  0	
 2  0 484536 5429024 29511360 176500032    0    0     0   242 3477 4517  0  0 100  0  0	
 2  0 484536 5430356 29511360 176500096    0    0     0   140 3245 4354  0  0 100  0  0	
 2  0 484536 5429428 29511360 176500128    0    0     0   315 3822 4945  0  0 100  0  0	
 0  0 484536 5430084 29511360 176500224    0    0     0   401 3699 4964  0  0 100  0  0	
 1  0 484536 5428792 29511360 176500224    0    0     0   647 3845 4643  0  0 100  0  0	
 3  0 484536 5437740 29511360 176500384    0    0     0   325 4298 5050  0  0 99  0  0	
 2  0 484536 5421884 29511360 176500432    0    0     0   232 3443 4501  0  0 100  0  0	
 0  0 484536 5419172 29511360 176500512    0    0     0   260 3867 4957  0  0 99  0  0	
 2  0 484536 5418452 29511360 176500576    0    0     0   393 5877 5693  0  2 98  0  0	
 1  0 484536 5484108 29511360 176500592    0    0     0   672 3582 4340  0  0 99  0  0	
 2  0 484536 5485328 29511360 176500752    0    0     0   293 3851 4859  0  0 99  0  0	
 1  0 484536 5488812 29511360 176500816    0    0     0   320 3832 4900  0  0 100  0  0	
 2  0 484536 5487596 29511360 176500864    0    0     0   296 3643 4809  0  0 100  0  0	
 0  0 484536 5490772 29511360 176500912    0    0     0   248 3381 4545  0  0 100  0  0	
 2  0 484536 5491632 29511360 176500928    0    0     0   649 3174 4140  0  0 100  0  0	
 2  0 484536 5518704 29511360 176501152    0    0     0   586 4191 5362  0  0 99  0  0	
 0  0 484536 5587904 29511360 176501248    0    0     0   206 4829 5989  1  0 99  0  0	
 1  0 484536 5587068 29511360 176501296    0    0     0   350 4134 5152  0  0 99  0  0	
 1  0 484536 5589488 29511360 176501376    0    0     0   374 3997 5341  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 484536 5588248 29511360 176501408    0    0     0   461 4215 5378  0  0 99  0  0	
 0  0 484536 5586212 29511360 176501616    0    0     0   406 4221 5287  0  0 99  0  0	
 2  0 484536 5584732 29511360 176501664    0    0     4   298 3575 4704  0  0 99  0  0	
 1  0 484536 5579852 29511360 176501728    0    0     0   373 4496 5510  0  0 99  0  0	
 0  0 484536 5580492 29511360 176501792    0    0     0   282 3353 4528  0  0 100  0  0	
 1  0 484536 5567852 29511360 176501808    0    0     4   524 4215 5078  1  0 99  0  0	
 2  0 484536 5550620 29511360 176501968    0    0     0   255 5255 5889  4  0 96  0  0	
 0  0 484536 5550236 29511360 176502016    0    0     0   196 3066 4231  0  0 100  0  0	
 0  0 484536 5547856 29511360 176502048    0    0     0   308 3832 4698  0  0 99  0  0	
 2  0 484536 5550908 29511360 176502144    0    0     0   299 3645 4706  0  0 100  0  0	
 2  0 484536 5551848 29511360 176502144    0    0     0   644 3445 4370  0  0 100  0  0	
 0  0 484536 5549660 29511360 176502304    0    0     0   311 3762 4615  0  0 99  0  0	
 2  0 484536 5549976 29511360 176502352    0    0     0   132 3286 4314  0  0 100  0  0	
 2  0 484536 5550676 29511360 176502400    0    0     0   316 3673 5001  0  0 100  0  0	
 0  0 484536 5551576 29511360 176502464    0    0     0   289 3750 4967  0  0 100  0  0	
 1  0 484536 5530868 29511360 176502496    0    0     4   718 4463 5014  0  0 99  0  0	
 1  0 484536 5452584 29511360 176502704    0    0     0   419 3969 4956  1  1 99  0  0	
