procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 484504 5450556 29511392 176487600    0    0    99   237    0    0 13  1 83  3  0	
 1  0 484504 5473108 29511392 176487632    0    0     0   585 4141 5002  2  0 98  0  0	
 1  0 484504 5458372 29511392 176487584    0    0     4   224 3883 4635  0  0 99  0  0	
 1  0 484504 5457592 29511392 176487728    0    0     0   378 3406 4279  0  0 100  0  0	
 3  0 484504 5460884 29511392 176487776    0    0     0   393 4080 5110  0  0 99  0  0	
 1  0 484504 5452388 29511392 176487872    0    0     0   328 3721 4859  1  0 99  0  0	
 1  0 484504 5453968 29511392 176487904    0    0     0   946 3720 4840  0  0 99  0  0	
 0  0 484504 5451268 29511392 176488064    0    0     0   299 3462 4575  0  0 100  0  0	
 1  0 484504 5451272 29511392 176488064    0    0     0   162 3378 4471  0  0 100  0  0	
 1  0 484504 5439228 29511392 176488144    0    0     4   431 4368 5569  0  0 99  0  0	
 5  0 484504 5435408 29511392 176488192    0    0     0   354 4051 4978  1  0 99  0  0	
 1  1 484504 5423540 29511392 176488352    0    0     0  1064 4957 5485  1  0 98  0  0	
 1  0 484504 5424720 29511392 176488416    0    0     0   296 3197 4490  0  0 100  0  0	
 1  0 484504 5424864 29511392 176488416    0    0     0   174 3276 4404  0  0 100  0  0	
 4  0 484504 5435356 29511392 176488480    0    0     0   376 6374 5823  0  2 97  0  0	
 4  0 484504 5437632 29511392 176488544    0    0     4   304 7724 5332  0  3 96  0  0	
 1  0 484504 5431532 29511392 176488688    0    0     0   767 5711 5164  0  2 98  0  0	
 0  0 484504 5426884 29511392 176488720    0    0     0   293 3532 4873  0  0 99  0  0	
 1  0 484504 5428336 29511392 176488768    0    0     0   410 4112 4961  1  0 99  0  0	
 1  0 484504 5425268 29511392 176488816    0    0     4   418 4000 5289  0  0 99  0  0	
 0  0 484504 5426080 29511392 176488880    0    0     0   146 3325 4333  0  0 100  0  0	
