procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  48160 18887876 970144 39437196    0    0     1     5    0    0  0  0 99  0
 0  0  48160 18887500 970144 39437096    0    0     0    50 1826 3991  0  0 100  0
 0  0  48160 18887444 970144 39437100    0    0     0     0 1750 3800  0  0 100  0
 0  0  48160 18887572 970144 39437100    0    0     0    40 1853 4129  0  0 100  0
 0  0  48160 18887372 970144 39437104    0    0     0     2 1764 3866  0  0 100  0
 0  0  48160 18887428 970144 39437104    0    0     0     4 1817 4012  0  0 100  0
 0  0  48160 18887580 970144 39437108    0    0     0    50 1846 3999  0  0 100  0
 0  0  48160 18887692 970144 39437108    0    0     0     0 1761 3906  0  0 100  0
 0  0  48160 18887748 970144 39437108    0    0     0    42 1798 3956  0  0 100  0
 0  0  48160 18887688 970144 39437116    0    0     0     2 1699 3725  0  0 100  0
 0  0  48160 18887408 970144 39437116    0    0     0    56 1917 4118  0  0 100  0
 0  0  48160 18887324 970144 39437120    0    0     0     6 1818 4011  0  0 100  0
 1  0  48160 18887312 970144 39437120    0    0     0     0 1870 4133  0  0 100  0
 1  0  48160 18887360 970144 39437120    0    0     0    40 1881 4214  0  0 100  0
 1  0  48160 18887396 970144 39437120    0    0     0    46 1769 3913  0  0 100  0
 0  0  48160 18887408 970144 39437120    0    0     0     4 1754 3900  0  0 100  0
 0  0  48160 18887620 970144 39437124    0    0     0     6 1832 4066  0  0 100  0
 0  0  48160 18887536 970144 39437128    0    0     0    42 1723 3759  0  0 100  0
 1  0  48160 18887556 970144 39437128    0    0     0     4 1874 4123  0  0 100  0
 0  0  48160 18887424 970144 39437132    0    0     0     2 1793 3882  0  0 100  0
 0  0  48160 18887484 970144 39437132    0    0     0    44 1874 4047  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  48160 18886220 970144 39437136    0    0     0     8 1916 4165  0  0 100  0
 0  0  48160 18885980 970144 39437144    0    0     0     0 1754 3833  0  0 100  0
 0  0  48160 18886028 970144 39437144    0    0     0    60 1784 3957  0  0 100  0
 0  0  48160 18885788 970144 39437160    0    0     0     2 1771 3877  0  0 100  0
 0  0  48160 18885568 970144 39437156    0    0     0     4 1943 4134  0  0 100  0
 1  0  48160 18884792 970144 39437156    0    0     0    62 2135 4171  0  0 100  0
 0  0  48160 18884840 970144 39437160    0    0     0     0 1826 3897  0  0 100  0
 0  0  48160 18885040 970144 39437160    0    0     0    38 1945 4270  0  0 100  0
 0  0  48160 18879700 970144 39440528    0    0     0     2 12079 4713  3  0 97  0
 1  0  48160 18879504 970144 39440528    0    0     0     4 1791 3895  0  0 100  0
 0  0  48160 18879128 970144 39440532    0    0     0    66 1849 4031  0  0 100  0
 0  0  48160 18879748 970144 39440532    0    0     0     0 1741 3749  0  0 100  0
 0  0  48160 18880320 970144 39440532    0    0     0    40 1899 4105  0  0 100  0
 1  0  48160 18880912 970144 39440536    0    0     0     2 1833 3999  0  0 100  0
 0  0  48160 18881296 970144 39440544    0    0     0     4 1819 3927  0  0 100  0
 0  0  48160 18881544 970144 39440548    0    0     0    50 1898 4107  0  0 100  0
 0  0  48160 18881668 970144 39440548    0    0     0     0 1742 3887  0  0 100  0
 1  0  48160 18881996 970144 39440548    0    0     0    38 1785 3938  0  0 100  0
 0  0  48160 18882324 970144 39440548    0    0     0     2 1740 3799  0  0 100  0
 0  0  48160 18882632 970144 39440552    0    0     0     4 1956 4104  0  0 100  0
 0  0  48160 18882612 970144 39440552    0    0     0    54 1875 4155  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  48160 18882768 970144 39440556    0    0     0     0 1861 4088  0  0 100  0
 0  0  48160 18882828 970144 39440556    0    0     0    54 1924 4139  0  0 100  0
 0  0  48160 18870896 970144 39448276    0    0     0  3902 2627 5031  2  0 98  0
 0  0  48160 18870928 970144 39448276    0    0     0     4 1766 3856  0  0 100  0
 1  1  48160 18871188 970144 39448280    0    0     0    68 1836 4038  0  0 100  0
 0  0  48160 18871840 970144 39448280    0    0     0     0 1731 3796  0  0 100  0
 1  0  48160 18872380 970144 39448280    0    0     0     4 1880 4031  0  0 100  0
 0  0  48160 18872628 970144 39448288    0    0     0    36 1777 3936  0  0 100  0
 1  0  48160 18872900 970144 39448288    0    0     0     4 1888 4179  0  0 100  0
 1  0  48160 18871852 970144 39448292    0    0     0     6 1833 3986  0  0 100  0
 0  0  48160 18871684 970144 39448296    0    0     0    58 1777 3921  0  0 100  0
