procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485740 6128348 29517548 175786608    0    0   101   241    0    0 13  1 83  3  0	
 1  0 485740 6128356 29517548 175786368    0    0     4   707 3939 5260  0  0 99  0  0	
 0  0 485740 6130372 29517548 175786464    0    0     0   326 9519 13911  2  0 98  0  0	
 1  0 485740 6052284 29517548 175786528    0    0    16   408 4057 4896  1  1 99  0  0	
 2  0 485740 6048012 29517548 175786720    0    0     4   508 8349 12799  2  0 98  0  0	
 2  0 485740 6046944 29517548 175786784    0    0     0   213 3436 4150  0  0 100  0  0	
 1  0 485740 6047372 29517548 175786848    0    0     0   704 4198 5171  0  0 99  0  0	
 0  0 485740 6014252 29517548 175786928    0    0     0   386 8394 11805  3  0 96  0  0	
 0  0 485740 6059232 29517548 175786928    0    0     0   289 3537 4384  0  0 100  0  0	
 2  0 485740 6057908 29517548 175787088    0    0     0   302 8364 12800  2  0 98  0  0	
 1  0 485740 6057356 29517548 175787136    0    0     0   426 3778 4683  0  0 99  0  0	
 1  0 485740 6056200 29517548 175787168    0    0     0  1039 4179 5348  0  0 99  0  0	
 0  0 485740 6051520 29517548 175787248    0    0     0   474 8840 12371  4  0 96  0  0	
 1  0 485740 6052012 29517548 175787264    0    0     0   386 3263 4141  0  0 100  0  0	
 3  0 485740 6056992 29517548 175787408    0    0     0   322 9017 13025  2  0 98  0  0	
 1  0 485740 6058956 29517548 175787456    0    0     0   250 3636 4335  0  0 99  0  0	
 1  0 485740 6058868 29517548 175787520    0    0     0  1059 4730 5695  0  0 99  0  0	
 4  0 485740 6060800 29517548 175787600    0    0     4   430 10373 14635  3  0 97  0  0	
 0  0 485740 6053468 29517548 175787632    0    0     0   382 4689 5056  1  1 99  0  0	
 4  0 485740 6050720 29517548 175787776    0    0     0   351 8553 12336  3  0 96  0  0	
 1  0 485740 6051368 29517548 175787824    0    0     0   154 3467 4268  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 485740 6030340 29517548 175787872    0    0     0   914 5242 5722  1  1 99  0  0	
 1  0 485736 6029960 29517548 175787952   16    0    16   408 7967 12260  2  0 98  0  0	
 1  0 485736 6032736 29517548 175788080    0    0     0   352 3852 4664  0  0 99  0  0	
 3  0 485732 6022916 29517548 175788176    2    0     2   452 9117 14073  2  0 98  0  0	
 1  0 485716 6016628 29517548 175788208   28    0    28   396 3833 4737  1  0 99  0  0	
 0  0 485716 6015608 29517548 175788256    0    0     0   353 3924 4933  0  0 99  0  0	
 2  0 485716 6017092 29517548 175788320    0    0     0   268 8969 13457  4  0 96  0  0	
 4  0 485716 6025932 29517548 175788352    0    0     0   484 6025 4807  0  3 97  0  0	
 3  0 485716 5991472 29517548 175788544    0    0     0   802 10834 12942  2  2 96  0  0	
 0  0 485716 6065180 29517548 175788736    0    0     0   328 3722 4400  0  0 99  0  0	
 0  0 485716 6065376 29517548 175788768    0    0     0   508 3600 4872  0  0 100  0  0	
 1  0 485716 6029428 29517548 175788864    0    0     0   344 9951 13931  4  0 96  0  0	
 0  0 485716 6027840 29517548 175788912    0    0     0   364 3486 4570  0  0 100  0  0	
 3  0 485716 6027976 29517548 175789104    0    0     0   526 8415 13300  2  0 98  0  0	
 1  0 485716 6025040 29517548 175789136    0    0     0   178 3674 4177  0  0 99  0  0	
 3  0 485716 6011196 29517548 175789216    0    0     4   443 4079 4999  0  0 99  0  0	
 1  0 485716 6011860 29517548 175789280    0    0     0   378 8610 13141  2  0 98  0  0	
 1  0 485716 6011440 29517548 175789440    0    0     0   245 3440 4355  0  0 100  0  0	
 5  0 485716 6024356 29517548 175789440    0    0     0   526 11518 11461  3  2 95  0  0	
 1  0 485716 6018112 29517548 175789504    0    0     0   276 4376 5669  1  0 99  0  0	
 1  0 485716 6013536 29517548 175789536    0    0     0   366 3963 4858  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 485716 6010708 29517548 175789632    0    0     0   556 9365 14390  2  0 98  0  0	
 1  0 485716 6010404 29517548 175789776    0    0     0   460 3630 4779  0  0 100  0  0	
 4  0 485716 6016056 29517548 175789824    0    0     0   791 7227 11103  1  0 98  0  0	
 1  0 485716 6008916 29517548 175789824    0    0     0   260 4712 6011  1  0 99  0  0	
 0  0 485716 6017440 29517548 175789904    0    0     0   476 4273 5117  0  0 99  0  0	
 2  0 485716 6020988 29517548 175789968    0    0     0   353 9858 13415  4  0 96  0  0	
 1  0 485716 5997308 29517548 175790096    0    0     0   326 3622 4526  0  0 99  0  0	
 4  0 485716 5997872 29517548 175790176    0    0     0   852 7342 11162  1  0 98  0  0	
 1  0 485716 5999268 29517548 175790176    0    0     0   255 4748 6573  1  0 99  0  0	
 1  0 485716 5999488 29517548 175790240    0    0     0   462 3757 4980  0  0 100  0  0	
 3  0 485716 6005916 29517548 175790304    0    0     0   460 9874 13912  3  1 96  0  0	
 0  0 485716 5981300 29517548 175790464    0    0     8   336 4573 4855  1  1 98  0  0	
 3  0 485716 5981080 29517548 175790544    0    0     0   896 7029 9989  3  0 97  0  0	
 0  0 485716 5977432 29517548 175790560    0    0     0   356 5798 7543  1  0 99  0  0	
 1  0 485716 5983520 29517548 175790624    0    0     0   444 4630 5228  0  0 99  0  0	
 1  0 485716 5984652 29517548 175790688    0    0     0   494 8579 13327  2  0 98  0  0	
 2  0 485716 5982080 29517548 175790848    0    0     0   553 4290 4926  1  0 99  0  0	
 4  0 485716 5979752 29517548 175790944    0    0     0   852 7942 12403  1  0 98  0  0	
 1  0 485716 5981852 29517548 175790976    0    0     0   351 5654 6710  3  0 97  0  0	
 1  0 485716 5982360 29517548 175791040    0    0     0   434 3673 4954  0  0 100  0  0	
 3  0 485716 5974396 29517548 175791104    0    0     4   274 9526 14262  2  0 98  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485716 6001040 29517548 175791280    0    0     0   509 4099 4962  0  0 99  0  0	
 4  0 485716 6001564 29517548 175791392    0    0     0   578 7783 11894  2  0 98  0  0	
 1  0 485716 6003436 29517548 175791392    0    0     0   180 4179 5372  1  0 99  0  0	
 0  0 485716 6004748 29517548 175791456    0    0     0   483 4104 5122  0  0 99  0  0	
 1  0 485716 6006080 29517548 175791536    0    0     0   440 8953 12840  4  0 96  0  0	
 1  0 485716 6009396 29517548 175791680    0    0     0   415 3763 4768  0  0 99  0  0	
 4  0 485716 6013228 29517548 175791728    0    0     0   566 8171 12730  1  0 98  0  0	
 1  0 485716 6011984 29517548 175791744    0    0     0   290 3882 4476  0  0 99  0  0	
 1  0 485716 6011316 29517548 175791792    0    0     0   418 3686 4830  0  0 100  0  0	
 0  0 485716 6010744 29517548 175791872    0    0     0   446 8834 13281  2  0 98  0  0	
 2  0 485716 6009068 29517548 175792016    0    0     4   434 3662 4682  0  0 99  0  0	
 6  0 485716 6007908 29517548 175792080    0    0     0   981 6268 8291  3  0 97  0  0	
 1  0 485716 6005484 29517548 175792080    0    0     0   326 5751 7784  1  0 99  0  0	
 1  0 485716 6006752 29517548 175792128    0    0     0   437 3971 5036  0  0 99  0  0	
 1  0 485716 6008544 29517548 175792208    0    0     0   274 9358 13510  2  0 98  0  0	
 1  0 485716 6006620 29517548 175792352    0    0     0   342 3562 4349  0  0 99  0  0	
 4  0 485716 5998428 29517548 175792416    0    0     0   960 7603 11036  2  0 98  0  0	
 0  0 485716 5996644 29517548 175792432    0    0     0   218 5113 6981  1  0 99  0  0	
 1  0 485716 5996880 29517548 175792480    0    0     0   422 3822 4912  0  0 100  0  0	
 0  0 485716 5993364 29517548 175792544    0    0     0   456 8643 12398  4  0 96  0  0	
 1  0 485716 5999096 29517548 175792704    0    0     0   327 3757 4647  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 485716 5998016 29517548 175792768    0    0     4   857 6882 9845  1  0 98  0  0	
 2  0 485716 5998044 29517548 175792784    0    0     0   282 5685 8092  1  0 99  0  0	
 0  0 485716 5997632 29517548 175792832    0    0     0   336 4050 4943  0  0 99  0  0	
 1  0 485716 5994724 29517548 175792912    0    0     0   471 8762 13401  2  0 98  0  0	
 0  0 485716 5990796 29517548 175792960    0    0     0   436 5056 5862  3  0 97  0  0	
 4  0 485716 6068360 29517548 175793184    0    0     0   628 7147 10232  1  0 98  0  0	
 1  0 485716 6066904 29517548 175793216    0    0     0   313 5298 7926  1  0 99  0  0	
 1  0 485716 6064644 29517548 175793264    0    0     0   514 4244 5155  0  0 99  0  0	
 1  0 485712 6001280 29517548 175793376    2    0    14   454 11445 14525  5  1 94  0  0	
 1  0 485712 5998688 29517548 175793440    0    0     0   489 4394 5173  0  0 99  0  0	
 7  0 485712 5999144 29517548 175793664    0    0     0   614 4929 6473  1  0 99  0  0	
 1  0 485712 6001744 29517548 175793664    0    0     0   212 7590 11853  1  0 98  0  0	
 0  0 485712 5996480 29517548 175793744    0    0     0   463 4846 5533  1  0 99  0  0	
