procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 194596 25307580 347504 68797552    0    0     0    85    0    0  2  1 98  0
 1  0 194596 25309160 347504 68797288    0    0     0  6912 6718 11869  1  1 98  0
 4  0 194596 25307404 347504 68797296    0    0     0    16 5153 12964  1  1 98  0
 0  0 194596 25295724 347504 68797344    0    0     0    10 4905 10596  1  1 99  0
 2  0 194596 25309168 347504 68797384    0    0     0  1028 5918 14147  2  1 98  0
 0  0 194596 25308528 347504 68797440    0    0     0     0 6519 11731  1  1 98  0
 0  0 194596 25307852 347504 68797456    0    0     0  6700 7324 11634  1  1 98  0
 0  0 194596 25307144 347504 68797464    0    0     0    16 5239 11890  1  1 98  0
 1  0 194596 25307292 347504 68797472    0    0     0  8992 7491 10809  1  1 99  0
 0  0 194596 25306060 347504 68797488    0    0     0  1356 5619 13387  1  1 97  0
 0  0 194596 25307856 347504 68797504    0    0     0    38 5138 11482  1  0 99  0
 0  0 194596 25306068 347504 68797520    0    0     0     8 5544 13007  1  1 98  0
 0  0 194596 25307728 347504 68797520    0    0     0   404 5254 12207  1  0 99  0
 0  0 194596 25306600 347504 68797528    0    0     0    10 4823 10851  1  0 99  0
 0  0 194596 25305780 347504 68797528    0    0     0    72 5759 13148  1  1 98  0
 1  0 194596 25310132 347504 68797696    0    0     0    32 5618 13931  2  1 97  0
 0  0 194596 25307192 347504 68797712    0    0     0  4798 6309 11558  1  1 98  0
 0  0 194596 25307884 347504 68797728    0    0     0   450 5527 12879  1  1 98  0
 0  0 194596 25308168 347504 68797736    0    0     0    10 4818 10529  1  0 99  0
 1  0 194596 25294640 347504 68797752    0    0     0 11072 8636 13284  1  1 98  0
 0  0 194596 25308600 347504 68797784    0    0     0    52 5174 12052  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 194596 25306980 347504 68797800    0    0     0     8 4985 11785  1  0 99  0
 0  0 194596 25304456 347504 68797824    0    0     0    86 5346 12304  1  1 98  0
 0  0 194596 25306528 347504 68797832    0    0     0    10 4838 10968  1  0 99  0
 0  0 194596 25306076 347504 68797840    0    0     0     0 5207 12494  1  1 98  0
 2  0 194596 25303376 347504 68797848    0    0     0  1022 5287 12726  1  1 98  0
 1  0 194596 25305808 347504 68797856    0    0     0 11136 9316 12770  1  1 98  0
 0  0 194596 25306640 347504 68797864    0    0     0   474 5444 12575  1  1 98  0
 0  0 194596 25306664 347504 68797904    0    0     0    10 4859 10906  1  1 99  0
 0  0 194596 25307812 347504 68797968    0    0     0  4862 6279 12443  1  1 98  0
 0  0 194596 25304328 347504 68798000    0    0     0     0 5470 12923  1  1 98  0
 2  0 194596 25306764 347504 68798024    0    0     0   410 5172 11598  1  1 99  0
 0  0 194596 25307028 347504 68798032    0    0     0    44 5354 13422  1  1 98  0
 1  0 194596 25309160 347504 68798064    0    0     0    10 4799 10678  1  0 99  0
 0  0 194596 25308620 347504 68798088    0    0     0  1024 5594 13342  1  1 98  0
 0  0 194596 25295212 347504 68798160    0    0     0     0 5027 11770  1  1 98  0
 0  0 194596 25306936 347504 68798176    0    0     0  2708 5697 11858  1  1 98  1
 3  0 194596 25307112 347504 68798208    0    0     0   120 5335 12316  1  0 98  0
 0  0 194596 25307576 347504 68798224    0    0     0    10 4995 11197  1  1 98  0
 0  0 194596 25306100 347504 68798240    0    0     0 13802 8935 11725  1  1 98  0
 2  0 194596 25306636 347504 68798280    0    0     0     0 5539 12235  1  1 98  0
 0  0 194596 25307988 347504 68798280    0    0     0   910 68793 13955  2  2 96  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  0 194596 25301724 347504 68798288    0    0     0   444 5155 11776  1  1 99  0
 0  0 194596 25307048 347504 68798304    0    0     0    10 4857 10874  1  0 99  0
 1  0 194596 25308492 347504 68798328    0    0     0     0 5480 12097  1  0 98  0
 0  0 194596 25307156 347504 68798416    0    0     0    66 5521 14107  2  1 98  0
 0  0 194596 25304472 347504 68798400    0    0     0 15530 9520 12170  1  1 98  0
 0  0 194596 25306492 347504 68798416    0    0     0  1120 5274 12807  1  1 98  0
 0  0 194596 25305652 347504 68798416    0    0     0    96 4951 11413  1  1 99  0
 1  0 194596 25306684 347504 68798528    0    0     0     0 5548 12851  1  1 98  0
 0  0 194596 25305232 347504 68798576    0    0     0   392 4808 11034  1  0 99  0
 2  0 194596 25288980 347504 68798592    0    0     0     8 5102 12194  1  1 98  0
 0  0 194596 25303492 347504 68798608    0    0     0    84 5289 12338  1  1 98  0
 0  0 194596 25301452 347504 68798624    0    0     0    70 4802 11086  1  1 99  0
 0  0 194596 25303944 347504 68798624    0    0     0 15394 9273 12527  1  1 98  0
 2  0 194596 25306192 347504 68798640    0    0     0     0 4999 11418  1  0 99  0
 0  0 194596 25306052 347504 68798688    0    0     0  1082 5284 12584  1  1 98  0
 0  0 194596 25303632 347504 68798672    0    0     0   460 5544 13374  1  1 98  0
 0  0 194596 25305684 347504 68798672    0    0     0    68 4733 10611  1  0 99  0
 6  0 194596 25304412 347504 68798752    0    0     0     0 5598 12687  1  0 98  0
 1  0 194596 25304976 347504 68798784    0    0     0     0 5085 11728  1  0 99  0
 0  0 194596 25305808 347504 68798816    0    0     0 15508 9857 11775  1  1 98  0
 2  0 194596 25303432 347504 68798832    0    0     0  1096 5712 14525  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 194596 25305588 347504 68798864    0    0     0    10 4859 10732  1  0 99  0
 0  0 194596 25303788 347504 68798912    0    0     0    82 5761 14490  1  1 98  0
 2  0 194596 25306592 347504 68798960    0    0     0     0 4900 11056  1  1 99  0
 1  0 194596 25307096 347504 68798968    0    0     0   436 4921 11421  1  0 99  0
 2  0 194596 25303784 347504 68798992    0    0     0    84 5473 12714  1  1 98  0
 0  0 194596 25305472 347504 68799000    0    0     0    10 4898 11010  1  1 99  0
 0  0 194596 25304296 347504 68799024    0    0     0 17222 10345 13072  1  1 98  0
 0  0 194596 25305052 347504 68799040    0    0     0     0 4954 11322  1  0 99  0
 0  0 194596 25304652 347504 68799056    0    0     0     8 5604 13278  1  1 98  0
 0  0 194596 25292680 347504 68799136    0    0     0   132 5643 13178  1  1 98  0
 1  0 194596 25304844 347504 68799136    0    0     0    10 4910 11170  1  1 98  0
 0  0 194596 25305960 347504 68799152    0    0     0   474 5480 12472  1  1 99  0
 0  0 194596 25306892 347504 68799208    0    0     0     0 5475 13226  1  1 98  0
 0  1 194596 25305272 347504 68799200    0    0     0  5634 7089 12074  1  1 98  0
 2  0 194596 25305704 347504 68799208    0    0     0   796 5204 12448  1  1 98  0
 1  0 194596 25304976 347504 68799216    0    0     0    10 4947 11242  1  1 98  0
 0  0 194596 25305920 347504 68799232    0    0     0 10980 8232 13251  1  1 98  0
 0  0 194596 25305444 347504 68799256    0    0     0     0 4984 11505  1  0 98  0
 0  0 194596 25305640 347504 68799424    0    0     0     8 4947 11297  1  0 99  0
 0  0 194596 25304032 347504 68799424    0    0     0   426 5160 12123  1  1 99  0
 2  0 194596 25303384 347504 68799440    0    0     0 19172 5346 12091  2  2 97  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
12  0 194596 25304332 347504 68799456    0    0     0     0 5456 12589  1  1 98  0
 0  0 194596 25303468 347504 68799456    0    0     0   976 4910 11048  1  1 99  0
 0  0 194596 25305840 347504 68799472    0    0     0     8 5405 12270  1  1 99  0
 0  0 194596 25304056 347504 68799472    0    0     0    74 5273 12476  1  1 99  0
 2  0 194596 25293668 347504 68799488    0    0     0    10 4914 11271  1  1 98  0
 0  0 194596 25305840 347504 68799568    0    0     0   422 5501 12608  1  1 98  0
 0  0 194596 25305928 347504 68799584    0    0     0    32 5087 11649  1  1 98  0
 1  0 194596 25305176 347504 68799608    0    0     0     8 5354 11985  1  1 98  0
 0  0 194596 25306556 347504 68799616    0    0     0  5528 7154 12735  1  1 98  0
 0  0 194596 25306864 347504 68799664    0    0     0  1048 4862 11064  1  1 99  0
